5.030385364194792430e+00,3.883105143827313643e+00,2.924466607627449921e+00,2.151892921724261498e+00,1.562859652913258124e+00,1.154893469624035163e+00,9.255708791356852538e-01,8.725169999220634409e-01,9.934043680472816051e-01,1.285951776567334726e+00
4.744204302624758895e+00,3.640328067045653704e+00,2.724877206786180395e+00,1.995280423206020393e+00,1.449018696119482641e+00,1.083623987724009252e+00,8.966779826951093435e-01,8.858108633322803183e-01,1.048700118678687954e+00,1.383069386572852055e+00
4.468991251496804651e+00,3.408416368967997823e+00,2.536051980910321024e+00,1.849332298647754502e+00,1.345743690282410476e+00,1.022823387570835685e+00,8.781582288856583096e-01,9.093834371497940827e-01,1.114181431668242794e+00,1.490280672818108609e+00
4.204672846192606173e+00,3.187297371475941166e+00,2.357918928829550342e+00,1.713977214444383224e+00,1.252963960144816369e+00,9.724216431996551835e-01,8.699422321378920131e-01,9.431659674588336317e-01,1.189780176164049852e+00,1.607518119074072604e+00
3.951176374949130210e+00,2.976899043197367867e+00,2.190406690095823006e+00,1.589144471772612421e+00,1.170609459372762062e+00,9.323493517910058648e-01,8.719612243290407738e-01,9.870903121693608284e-01,1.275428827595440406e+00,1.734714809923551870e+00
3.708429771612820058e+00,2.777149992328418637e+00,2.033444537872212354e+00,1.474763999545671611e+00,1.098610763575363913e+00,9.025377267546836890e-01,8.841470479300991281e-01,1.041088934226533480e+00,1.371060460943970938e+00,1.871804424092891717e+00
3.476361608489944910e+00,2.587979459550765249e+00,1.886962371916125258e+00,1.370766347461598755e+00,1.036899063417240585e+00,8.829185909054935166e-01,9.064321492439926242e-01,1.105094894910442660e+00,1.476608744103881543e+00,2.018721227872320334e+00
3.254901089291802663e+00,2.409317311042812548e+00,1.750890711655630261e+00,1.277082679143759947e+00,9.854061578223362039e-01,8.734243697294854503e-01,9.387495717333989020e-01,1.179041847224662876e+00,1.592007931330558179e+00,2.175400068623534189e+00
3.043978042173225429e+00,2.241094031583353630e+00,1.625160689357333821e+00,1.193644765372084748e+00,9.440644472676219534e-01,8.739880847392942353e-01,9.810329494368460468e-01,1.262864029372310126e+00,1.717192856775724863e+00,2.341776368373197581e+00
2.843522912863078567e+00,2.083240717746337456e+00,1.509704043384529681e+00,1.120384977403697357e+00,9.128069271653768135e-01,8.845433469171932739e-01,1.033216500471735078e+00,1.356496258318174331e+00,1.852098928107897002e+00,2.517786117490944608e+00
